Record #:  0
Notes :


6/26/20192:23:20 PM
ADC Register Settings

Register	Address	Value	D7	D6	D5	D4	D3	D2	D1	D0
ID	0x00	0x92	1	0	0	1	0	0	1	0
CONFIG1	0x01	0x86	1	0	0	0	0	1	1	0
CONFIG2	0x02	0x10	0	0	0	1	0	0	0	0
CONFIG3	0x03	0xDC	1	1	0	1	1	1	0	0
LOFF	0x04	0x03	0	0	0	0	0	0	1	1
CH1SET	0x05	0x01	0	0	0	0	0	0	0	1
CH2SET	0x06	0x01	0	0	0	0	0	0	0	1
CH3SET	0x07	0x01	0	0	0	0	0	0	0	1
CH4SET	0x08	0x01	0	0	0	0	0	0	0	1
CH5SET	0x09	0x01	0	0	0	0	0	0	0	1
CH6SET	0x0A	0x01	0	0	0	0	0	0	0	1
CH7SET	0x0B	0x01	0	0	0	0	0	0	0	1
CH8SET	0x0C	0x01	0	0	0	0	0	0	0	1
RLD_SENSP	0x0D	0x00	0	0	0	0	0	0	0	0
RLD_SENSN	0x0E	0x00	0	0	0	0	0	0	0	0
LOFF_SENSP	0x0F	0xFF	1	1	1	1	1	1	1	1
LOFF_SENSN	0x10	0x02	0	0	0	0	0	0	1	0
LOFF_FLIP	0x11	0x00	0	0	0	0	0	0	0	0
LOFF_STATP	0x12	0x68	0	1	1	0	1	0	0	0
LOFF_STATN	0x13	0x34	0	0	1	1	0	1	0	0
GPIO	0x14	0x00	0	0	0	0	0	0	0	0
PACE	0x15	0x00	0	0	0	0	0	0	0	0
RESP	0x16	0xF0	1	1	1	1	0	0	0	0
CONFIG4	0x17	0x22	0	0	1	0	0	0	1	0
WCT1	0x18	0x0A	0	0	0	0	1	0	1	0
WCT2	0x19	0xE3	1	1	1	0	0	0	1	1
