Record #:  0
Notes :


6/26/20192:23:20 PMRecord #:  0
Notes :


6/26/20192:23:20 PM
Codes Data

Status Bits	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
FFFFFFFFFFC69340	00002370	FFFFFFFFFFFFE21A	00000111	FFFFFFFFFFFFD851	FFFFFFFFFFFFC4CB	000014DE	FFFFFFFFFFFFDE70	000007AC
FFFFFFFFFFC68340	00002372	FFFFFFFFFFFFE20A	00000123	FFFFFFFFFFFFD857	FFFFFFFFFFFFC4C3	000014E4	FFFFFFFFFFFFDE66	000007BB
FFFFFFFFFFC68340	00002367	FFFFFFFFFFFFE215	0000010A	FFFFFFFFFFFFD84A	FFFFFFFFFFFFC4C3	000014E5	FFFFFFFFFFFFDE6F	000007B4
FFFFFFFFFFC68340	0000235F	FFFFFFFFFFFFE222	0000010E	FFFFFFFFFFFFD845	FFFFFFFFFFFFC4DA	000014E2	FFFFFFFFFFFFDE7B	000007A4
FFFFFFFFFFC68340	00002376	FFFFFFFFFFFFE21E	00000103	FFFFFFFFFFFFD84C	FFFFFFFFFFFFC4DA	000014E0	FFFFFFFFFFFFDE7B	000007A0
FFFFFFFFFFC68340	00002380	FFFFFFFFFFFFE218	000000F8	FFFFFFFFFFFFD853	FFFFFFFFFFFFC4D8	000014E2	FFFFFFFFFFFFDE85	0000079C
FFFFFFFFFFC68340	00002368	FFFFFFFFFFFFE21C	000000F3	FFFFFFFFFFFFD860	FFFFFFFFFFFFC4BD	000014E9	FFFFFFFFFFFFDE8E	000007AF
FFFFFFFFFFC68340	0000237B	FFFFFFFFFFFFE219	000000EC	FFFFFFFFFFFFD85B	FFFFFFFFFFFFC4B0	000014ED	FFFFFFFFFFFFDE8F	0000079D
FFFFFFFFFFC69340	00002381	FFFFFFFFFFFFE21A	00000107	FFFFFFFFFFFFD85D	FFFFFFFFFFFFC4B8	000014F6	FFFFFFFFFFFFDE86	0000079F
FFFFFFFFFFC68340	0000236F	FFFFFFFFFFFFE208	0000010E	FFFFFFFFFFFFD850	FFFFFFFFFFFFC4B6	000014E7	FFFFFFFFFFFFDE80	000007A9
FFFFFFFFFFC68340	0000235F	FFFFFFFFFFFFE207	000000F9	FFFFFFFFFFFFD854	FFFFFFFFFFFFC4C6	000014EA	FFFFFFFFFFFFDE72	0000079B
FFFFFFFFFFC68340	00002369	FFFFFFFFFFFFE210	00000108	FFFFFFFFFFFFD85B	FFFFFFFFFFFFC4D5	000014EE	FFFFFFFFFFFFDE78	00000793
FFFFFFFFFFC68340	0000236B	FFFFFFFFFFFFE21C	0000010C	FFFFFFFFFFFFD853	FFFFFFFFFFFFC4CC	000014EA	FFFFFFFFFFFFDE6B	000007A9
FFFFFFFFFFC68340	00002368	FFFFFFFFFFFFE22E	00000114	FFFFFFFFFFFFD864	FFFFFFFFFFFFC4CC	000014EE	FFFFFFFFFFFFDE62	000007A6
FFFFFFFFFFC68340	00002367	FFFFFFFFFFFFE226	0000010D	FFFFFFFFFFFFD867	FFFFFFFFFFFFC4CB	000014F5	FFFFFFFFFFFFDE66	000007AF
FFFFFFFFFFC68340	00002368	FFFFFFFFFFFFE21A	0000010D	FFFFFFFFFFFFD864	FFFFFFFFFFFFC4BC	000014EF	FFFFFFFFFFFFDE73	000007AB
FFFFFFFFFFC69340	0000236A	FFFFFFFFFFFFE209	00000106	FFFFFFFFFFFFD859	FFFFFFFFFFFFC4C7	000014F7	FFFFFFFFFFFFDE79	00000798
FFFFFFFFFFC68340	00002370	FFFFFFFFFFFFE214	000000F6	FFFFFFFFFFFFD852	FFFFFFFFFFFFC4C9	000014E8	FFFFFFFFFFFFDE7E	0000079A
FFFFFFFFFFC68340	0000236F	FFFFFFFFFFFFE22B	000000EF	FFFFFFFFFFFFD842	FFFFFFFFFFFFC4BD	000014EE	FFFFFFFFFFFFDE87	000007A6
FFFFFFFFFFC68340	0000237C	FFFFFFFFFFFFE230	000000F3	FFFFFFFFFFFFD84E	FFFFFFFFFFFFC4C4	000014E2	FFFFFFFFFFFFDE80	000007AE
FFFFFFFFFFC68340	0000237E	FFFFFFFFFFFFE21F	000000EC	FFFFFFFFFFFFD83A	FFFFFFFFFFFFC4C9	000014E4	FFFFFFFFFFFFDE82	000007B0
FFFFFFFFFFC68340	00002369	FFFFFFFFFFFFE22D	000000F0	FFFFFFFFFFFFD855	FFFFFFFFFFFFC4D5	000014DF	FFFFFFFFFFFFDE75	000007BA
FFFFFFFFFFC68340	00002363	FFFFFFFFFFFFE23B	000000EF	FFFFFFFFFFFFD85D	FFFFFFFFFFFFC4D6	000014C6	FFFFFFFFFFFFDE82	000007B6
FFFFFFFFFFC68340	0000236E	FFFFFFFFFFFFE22A	000000FD	FFFFFFFFFFFFD84E	FFFFFFFFFFFFC4D0	000014D2	FFFFFFFFFFFFDE94	000007B0
FFFFFFFFFFC68340	00002376	FFFFFFFFFFFFE225	000000FA	FFFFFFFFFFFFD858	FFFFFFFFFFFFC4CE	000014E5	FFFFFFFFFFFFDE94	000007B1
FFFFFFFFFFC69340	00002369	FFFFFFFFFFFFE227	000000FD	FFFFFFFFFFFFD85E	FFFFFFFFFFFFC4C6	000014F3	FFFFFFFFFFFFDE83	000007A4
FFFFFFFFFFC68340	00002378	FFFFFFFFFFFFE229	00000104	FFFFFFFFFFFFD854	FFFFFFFFFFFFC4BA	000014F2	FFFFFFFFFFFFDE7F	000007A6
FFFFFFFFFFC68340	0000236B	FFFFFFFFFFFFE223	0000010D	FFFFFFFFFFFFD861	FFFFFFFFFFFFC4B4	000014EF	FFFFFFFFFFFFDE8F	000007AE
FFFFFFFFFFC68340	00002362	FFFFFFFFFFFFE220	000000FB	FFFFFFFFFFFFD85D	FFFFFFFFFFFFC4B5	000014E5	FFFFFFFFFFFFDE73	000007AF
FFFFFFFFFFC68340	00002379	FFFFFFFFFFFFE219	000000FE	FFFFFFFFFFFFD868	FFFFFFFFFFFFC4BB	000014E8	FFFFFFFFFFFFDE5C	000007A1
FFFFFFFFFFC68340	0000238D	FFFFFFFFFFFFE219	00000109	FFFFFFFFFFFFD84C	FFFFFFFFFFFFC4CA	000014E8	FFFFFFFFFFFFDE5E	0000079E
FFFFFFFFFFC68340	00002377	FFFFFFFFFFFFE228	0000010F	FFFFFFFFFFFFD83D	FFFFFFFFFFFFC4C4	000014F1	FFFFFFFFFFFFDE65	0000079A
FFFFFFFFFFC68340	00002373	FFFFFFFFFFFFE21F	000000F9	FFFFFFFFFFFFD843	FFFFFFFFFFFFC4CD	00001505	FFFFFFFFFFFFDE71	0000079F
FFFFFFFFFFC69340	0000236B	FFFFFFFFFFFFE212	000000F7	FFFFFFFFFFFFD851	FFFFFFFFFFFFC4C1	000014F3	FFFFFFFFFFFFDE67	00000792
FFFFFFFFFFC68340	00002385	FFFFFFFFFFFFE20D	00000107	FFFFFFFFFFFFD83B	FFFFFFFFFFFFC4BF	000014ED	FFFFFFFFFFFFDE66	00000792
FFFFFFFFFFC68340	00002387	FFFFFFFFFFFFE213	00000102	FFFFFFFFFFFFD851	FFFFFFFFFFFFC4BF	000014FB	FFFFFFFFFFFFDE7F	00000798
FFFFFFFFFFC68340	00002380	FFFFFFFFFFFFE230	00000110	FFFFFFFFFFFFD850	FFFFFFFFFFFFC4C3	000014FD	FFFFFFFFFFFFDE82	000007A6
FFFFFFFFFFC68340	0000237C	FFFFFFFFFFFFE218	0000010C	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4C6	000014EC	FFFFFFFFFFFFDE81	000007AC
FFFFFFFFFFC68340	0000236F	FFFFFFFFFFFFE222	00000109	FFFFFFFFFFFFD862	FFFFFFFFFFFFC4E0	000014FA	FFFFFFFFFFFFDE79	000007B0
FFFFFFFFFFC68340	00002371	FFFFFFFFFFFFE21E	0000010F	FFFFFFFFFFFFD864	FFFFFFFFFFFFC4DE	000014E9	FFFFFFFFFFFFDE7F	000007B0
FFFFFFFFFFC68340	0000236D	FFFFFFFFFFFFE215	00000109	FFFFFFFFFFFFD856	FFFFFFFFFFFFC4D5	000014DE	FFFFFFFFFFFFDE6E	000007A7
FFFFFFFFFFC69340	00002369	FFFFFFFFFFFFE216	0000010B	FFFFFFFFFFFFD853	FFFFFFFFFFFFC4D6	000014E8	FFFFFFFFFFFFDE76	000007B6
FFFFFFFFFFC68340	00002377	FFFFFFFFFFFFE212	00000112	FFFFFFFFFFFFD84D	FFFFFFFFFFFFC4DA	000014F6	FFFFFFFFFFFFDE80	000007B0
FFFFFFFFFFC68340	0000236A	FFFFFFFFFFFFE21D	0000010A	FFFFFFFFFFFFD85B	FFFFFFFFFFFFC4DD	000014EF	FFFFFFFFFFFFDE7E	000007AD
FFFFFFFFFFC68340	00002385	FFFFFFFFFFFFE218	0000010B	FFFFFFFFFFFFD857	FFFFFFFFFFFFC4CB	000014EC	FFFFFFFFFFFFDE6E	000007AA
FFFFFFFFFFC68340	0000237B	FFFFFFFFFFFFE221	00000111	FFFFFFFFFFFFD84D	FFFFFFFFFFFFC4CF	000014F1	FFFFFFFFFFFFDE72	000007C5
FFFFFFFFFFC68340	00002381	FFFFFFFFFFFFE224	00000110	FFFFFFFFFFFFD851	FFFFFFFFFFFFC4CA	000014E7	FFFFFFFFFFFFDE75	000007B1
FFFFFFFFFFC68340	00002382	FFFFFFFFFFFFE218	00000104	FFFFFFFFFFFFD862	FFFFFFFFFFFFC4CB	000014E9	FFFFFFFFFFFFDE83	000007AE
FFFFFFFFFFC68340	00002388	FFFFFFFFFFFFE21C	0000010D	FFFFFFFFFFFFD870	FFFFFFFFFFFFC4D3	000014F7	FFFFFFFFFFFFDE77	000007A6
FFFFFFFFFFC68340	00002388	FFFFFFFFFFFFE210	0000010A	FFFFFFFFFFFFD869	FFFFFFFFFFFFC4C7	000014E5	FFFFFFFFFFFFDE6C	000007AC
FFFFFFFFFFC69340	0000239A	FFFFFFFFFFFFE221	00000109	FFFFFFFFFFFFD855	FFFFFFFFFFFFC4BB	000014E1	FFFFFFFFFFFFDE77	000007B9
FFFFFFFFFFC68340	00002397	FFFFFFFFFFFFE226	00000105	FFFFFFFFFFFFD84C	FFFFFFFFFFFFC4BF	000014F2	FFFFFFFFFFFFDE75	000007B1
FFFFFFFFFFC68340	00002381	FFFFFFFFFFFFE220	000000EE	FFFFFFFFFFFFD862	FFFFFFFFFFFFC4C8	000014E5	FFFFFFFFFFFFDE6A	000007B6
FFFFFFFFFFC68340	00002380	FFFFFFFFFFFFE21B	000000F8	FFFFFFFFFFFFD86A	FFFFFFFFFFFFC4BB	000014E0	FFFFFFFFFFFFDE77	000007A7
FFFFFFFFFFC68340	00002372	FFFFFFFFFFFFE229	00000107	FFFFFFFFFFFFD859	FFFFFFFFFFFFC4CC	000014EC	FFFFFFFFFFFFDE73	000007A2
FFFFFFFFFFC68340	00002375	FFFFFFFFFFFFE221	00000105	FFFFFFFFFFFFD855	FFFFFFFFFFFFC4C7	000014E9	FFFFFFFFFFFFDE7F	000007A4
FFFFFFFFFFC68340	0000238B	FFFFFFFFFFFFE21F	0000010B	FFFFFFFFFFFFD859	FFFFFFFFFFFFC4CE	000014EB	FFFFFFFFFFFFDE7D	000007A4
FFFFFFFFFFC68340	00002383	FFFFFFFFFFFFE21B	0000010C	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4CD	000014F9	FFFFFFFFFFFFDE79	000007A8
FFFFFFFFFFC69340	00002368	FFFFFFFFFFFFE216	00000105	FFFFFFFFFFFFD86D	FFFFFFFFFFFFC4D0	000014E8	FFFFFFFFFFFFDE66	000007A1
FFFFFFFFFFC68340	00002375	FFFFFFFFFFFFE212	00000117	FFFFFFFFFFFFD867	FFFFFFFFFFFFC4CC	000014F2	FFFFFFFFFFFFDE7A	000007B7
FFFFFFFFFFC68340	00002374	FFFFFFFFFFFFE219	0000010C	FFFFFFFFFFFFD863	FFFFFFFFFFFFC4C7	000014D5	FFFFFFFFFFFFDE94	000007A3
FFFFFFFFFFC68340	0000236F	FFFFFFFFFFFFE222	00000106	FFFFFFFFFFFFD86B	FFFFFFFFFFFFC4C2	000014D1	FFFFFFFFFFFFDE8D	000007B6
FFFFFFFFFFC68340	00002372	FFFFFFFFFFFFE21D	0000010C	FFFFFFFFFFFFD865	FFFFFFFFFFFFC4B8	000014DD	FFFFFFFFFFFFDE8D	000007A6
FFFFFFFFFFC68340	00002389	FFFFFFFFFFFFE21B	0000010C	FFFFFFFFFFFFD876	FFFFFFFFFFFFC4B0	000014E2	FFFFFFFFFFFFDE85	000007A3
FFFFFFFFFFC68340	0000238F	FFFFFFFFFFFFE21C	00000109	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4CE	000014DD	FFFFFFFFFFFFDE80	000007AB
FFFFFFFFFFC68340	00002387	FFFFFFFFFFFFE213	000000FF	FFFFFFFFFFFFD84E	FFFFFFFFFFFFC4CE	000014DB	FFFFFFFFFFFFDE7D	0000079D
FFFFFFFFFFC69340	0000238F	FFFFFFFFFFFFE21D	00000109	FFFFFFFFFFFFD853	FFFFFFFFFFFFC4C2	000014D8	FFFFFFFFFFFFDE8B	0000079B
FFFFFFFFFFC68340	00002388	FFFFFFFFFFFFE21D	00000100	FFFFFFFFFFFFD867	FFFFFFFFFFFFC4C4	000014CE	FFFFFFFFFFFFDE71	000007A3
FFFFFFFFFFC68340	00002377	FFFFFFFFFFFFE224	000000FB	FFFFFFFFFFFFD865	FFFFFFFFFFFFC4CB	000014D4	FFFFFFFFFFFFDE75	000007A7
FFFFFFFFFFC68340	00002378	FFFFFFFFFFFFE219	00000108	FFFFFFFFFFFFD858	FFFFFFFFFFFFC4BC	000014D5	FFFFFFFFFFFFDE83	000007A0
FFFFFFFFFFC68340	00002383	FFFFFFFFFFFFE217	0000010F	FFFFFFFFFFFFD85D	FFFFFFFFFFFFC4B6	000014E2	FFFFFFFFFFFFDE74	000007A9
FFFFFFFFFFC68340	0000237D	FFFFFFFFFFFFE225	00000119	FFFFFFFFFFFFD854	FFFFFFFFFFFFC4C6	000014F9	FFFFFFFFFFFFDE88	000007A5
FFFFFFFFFFC68340	00002380	FFFFFFFFFFFFE20F	00000102	FFFFFFFFFFFFD85B	FFFFFFFFFFFFC4C9	000014ED	FFFFFFFFFFFFDE68	000007A1
FFFFFFFFFFC68340	0000237E	FFFFFFFFFFFFE204	00000115	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4BF	000014E7	FFFFFFFFFFFFDE63	000007A7
FFFFFFFFFFC68340	0000237E	FFFFFFFFFFFFE20C	00000112	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4B5	00001500	FFFFFFFFFFFFDE7F	000007A3
FFFFFFFFFFC69340	00002381	FFFFFFFFFFFFE21C	0000010A	FFFFFFFFFFFFD867	FFFFFFFFFFFFC4BB	000014F1	FFFFFFFFFFFFDE83	000007B1
FFFFFFFFFFC68340	00002388	FFFFFFFFFFFFE237	00000100	FFFFFFFFFFFFD85B	FFFFFFFFFFFFC4B9	000014D6	FFFFFFFFFFFFDE67	000007C0
FFFFFFFFFFC68340	0000237F	FFFFFFFFFFFFE228	000000F8	FFFFFFFFFFFFD858	FFFFFFFFFFFFC4BD	000014E6	FFFFFFFFFFFFDE83	000007A7
FFFFFFFFFFC68340	00002362	FFFFFFFFFFFFE213	00000102	FFFFFFFFFFFFD847	FFFFFFFFFFFFC4C4	000014DE	FFFFFFFFFFFFDE80	000007A4
FFFFFFFFFFC68340	00002373	FFFFFFFFFFFFE214	00000107	FFFFFFFFFFFFD847	FFFFFFFFFFFFC4D0	00001502	FFFFFFFFFFFFDE8E	000007AE
FFFFFFFFFFC68340	0000238B	FFFFFFFFFFFFE21B	00000107	FFFFFFFFFFFFD852	FFFFFFFFFFFFC4D1	000014E5	FFFFFFFFFFFFDE8D	0000079A
FFFFFFFFFFC68340	00002381	FFFFFFFFFFFFE21C	00000109	FFFFFFFFFFFFD844	FFFFFFFFFFFFC4CE	000014DE	FFFFFFFFFFFFDE8A	0000079F
FFFFFFFFFFC68340	00002383	FFFFFFFFFFFFE215	000000FB	FFFFFFFFFFFFD84E	FFFFFFFFFFFFC4D0	000014F6	FFFFFFFFFFFFDE80	000007B3
FFFFFFFFFFC69340	0000236C	FFFFFFFFFFFFE22A	000000F1	FFFFFFFFFFFFD860	FFFFFFFFFFFFC4CE	000014F6	FFFFFFFFFFFFDE75	000007A7
FFFFFFFFFFC68340	0000237B	FFFFFFFFFFFFE210	000000FD	FFFFFFFFFFFFD85E	FFFFFFFFFFFFC4C4	000014FE	FFFFFFFFFFFFDE6D	0000079C
FFFFFFFFFFC68340	00002384	FFFFFFFFFFFFE208	000000F9	FFFFFFFFFFFFD863	FFFFFFFFFFFFC4D0	00001501	FFFFFFFFFFFFDE66	000007A0
FFFFFFFFFFC68340	00002386	FFFFFFFFFFFFE208	000000F9	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4CC	000014FE	FFFFFFFFFFFFDE81	000007AF
FFFFFFFFFFC68340	00002388	FFFFFFFFFFFFE20E	00000107	FFFFFFFFFFFFD851	FFFFFFFFFFFFC4B9	000014F3	FFFFFFFFFFFFDE94	000007AC
FFFFFFFFFFC68340	0000237B	FFFFFFFFFFFFE217	0000011D	FFFFFFFFFFFFD84D	FFFFFFFFFFFFC4B3	000014F8	FFFFFFFFFFFFDE82	00000797
FFFFFFFFFFC68340	00002392	FFFFFFFFFFFFE21A	00000121	FFFFFFFFFFFFD853	FFFFFFFFFFFFC4C1	000014E9	FFFFFFFFFFFFDE76	000007A2
