Record #:  0
Notes :


6/26/20192:23:20 PMRecord #:  0
Notes :


6/26/20192:23:20 PM
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
432.586670E-6	-364.971161E-6	13.017654E-6	-484.418869E-6	-722.742081E-6	254.726410E-6	-409.698486E-6	93.650818E-6
432.682037E-6	-365.734100E-6	13.875961E-6	-484.132767E-6	-723.123550E-6	255.012512E-6	-410.175323E-6	94.366074E-6
432.157516E-6	-365.209579E-6	12.683868E-6	-484.752655E-6	-723.123550E-6	255.060196E-6	-409.746170E-6	94.032288E-6
431.776047E-6	-364.589691E-6	12.874603E-6	-484.991074E-6	-722.026825E-6	254.917145E-6	-409.173965E-6	93.269348E-6
432.872772E-6	-364.780426E-6	12.350082E-6	-484.657288E-6	-722.026825E-6	254.821777E-6	-409.173965E-6	93.078613E-6
433.349609E-6	-365.066528E-6	11.825562E-6	-484.323502E-6	-722.122192E-6	254.917145E-6	-408.697128E-6	92.887878E-6
432.205200E-6	-364.875793E-6	11.587143E-6	-483.703613E-6	-723.409653E-6	255.250931E-6	-408.267975E-6	93.793869E-6
433.111191E-6	-365.018845E-6	11.253357E-6	-483.942032E-6	-724.029541E-6	255.441666E-6	-408.220291E-6	92.935562E-6
433.397293E-6	-364.971161E-6	12.540817E-6	-483.846664E-6	-723.648071E-6	255.870819E-6	-408.649445E-6	93.030930E-6
432.538986E-6	-365.829468E-6	12.874603E-6	-484.466553E-6	-723.743439E-6	255.155563E-6	-408.935547E-6	93.507767E-6
431.776047E-6	-365.877151E-6	11.873245E-6	-484.275818E-6	-722.980499E-6	255.298615E-6	-409.603119E-6	92.840195E-6
432.252884E-6	-365.447998E-6	12.588501E-6	-483.942032E-6	-722.265244E-6	255.489349E-6	-409.317017E-6	92.458725E-6
432.348251E-6	-364.875793E-6	12.779236E-6	-484.323502E-6	-722.694397E-6	255.298615E-6	-409.936905E-6	93.507767E-6
432.205200E-6	-364.017487E-6	13.160706E-6	-483.512878E-6	-722.694397E-6	255.489349E-6	-410.366058E-6	93.364716E-6
432.157516E-6	-364.398956E-6	12.826920E-6	-483.369827E-6	-722.742081E-6	255.823135E-6	-410.175323E-6	93.793869E-6
432.205200E-6	-364.971161E-6	12.826920E-6	-483.512878E-6	-723.457336E-6	255.537033E-6	-409.555435E-6	93.603134E-6
432.300568E-6	-365.781784E-6	12.493134E-6	-484.037399E-6	-722.932816E-6	255.918503E-6	-409.269333E-6	92.697144E-6
432.586670E-6	-365.257263E-6	11.730194E-6	-484.371185E-6	-722.837448E-6	255.203247E-6	-409.030914E-6	92.792511E-6
432.538986E-6	-364.160538E-6	11.396408E-6	-485.134125E-6	-723.409653E-6	255.489349E-6	-408.601761E-6	93.364716E-6
433.158875E-6	-363.922119E-6	11.587143E-6	-484.561920E-6	-723.075867E-6	254.917145E-6	-408.935547E-6	93.746185E-6
433.254242E-6	-364.732742E-6	11.253357E-6	-485.515594E-6	-722.837448E-6	255.012512E-6	-408.840179E-6	93.841553E-6
432.252884E-6	-364.065170E-6	11.444092E-6	-484.228134E-6	-722.265244E-6	254.774094E-6	-409.460068E-6	94.318390E-6
431.966782E-6	-363.397598E-6	11.396408E-6	-483.846664E-6	-722.217560E-6	253.582001E-6	-408.840179E-6	94.127655E-6
432.491302E-6	-364.208221E-6	12.063980E-6	-484.561920E-6	-722.503662E-6	254.154205E-6	-407.981873E-6	93.841553E-6
432.872772E-6	-364.446640E-6	11.920929E-6	-484.085083E-6	-722.599030E-6	255.060196E-6	-407.981873E-6	93.889236E-6
432.252884E-6	-364.351273E-6	12.063980E-6	-483.798981E-6	-722.980499E-6	255.727768E-6	-408.792496E-6	93.269348E-6
432.968140E-6	-364.255905E-6	12.397766E-6	-484.275818E-6	-723.552704E-6	255.680084E-6	-408.983231E-6	93.364716E-6
432.348251E-6	-364.542007E-6	12.826920E-6	-483.655930E-6	-723.838806E-6	255.537033E-6	-408.220291E-6	93.746185E-6
431.919098E-6	-364.685059E-6	11.968613E-6	-483.846664E-6	-723.791122E-6	255.060196E-6	-409.555435E-6	93.793869E-6
433.015823E-6	-365.018845E-6	12.111664E-6	-483.322144E-6	-723.505020E-6	255.203247E-6	-410.652161E-6	93.126297E-6
433.969498E-6	-365.018845E-6	12.636185E-6	-484.657288E-6	-722.789764E-6	255.203247E-6	-410.556793E-6	92.983246E-6
432.920456E-6	-364.303589E-6	12.922287E-6	-485.372543E-6	-723.075867E-6	255.632401E-6	-410.223007E-6	92.792511E-6
432.729721E-6	-364.732742E-6	11.873245E-6	-485.086441E-6	-722.646713E-6	256.586075E-6	-409.650803E-6	93.030930E-6
432.348251E-6	-365.352631E-6	11.777878E-6	-484.418869E-6	-723.218918E-6	255.727768E-6	-410.127640E-6	92.411041E-6
433.588028E-6	-365.591049E-6	12.540817E-6	-485.467911E-6	-723.314285E-6	255.441666E-6	-410.175323E-6	92.411041E-6
433.683395E-6	-365.304947E-6	12.302399E-6	-484.418869E-6	-723.314285E-6	256.109238E-6	-408.983231E-6	92.697144E-6
433.349609E-6	-363.922119E-6	12.969971E-6	-484.466553E-6	-723.123550E-6	256.204605E-6	-408.840179E-6	93.364716E-6
433.158875E-6	-365.066528E-6	12.779236E-6	-483.894348E-6	-722.980499E-6	255.393982E-6	-408.887863E-6	93.650818E-6
432.538986E-6	-364.589691E-6	12.636185E-6	-483.608246E-6	-721.740723E-6	256.061554E-6	-409.269333E-6	93.841553E-6
432.634354E-6	-364.780426E-6	12.922287E-6	-483.512878E-6	-721.836090E-6	255.250931E-6	-408.983231E-6	93.841553E-6
432.443619E-6	-365.209579E-6	12.636185E-6	-484.180450E-6	-722.265244E-6	254.726410E-6	-409.793854E-6	93.412399E-6
432.252884E-6	-365.161896E-6	12.731552E-6	-484.323502E-6	-722.217560E-6	255.203247E-6	-409.412384E-6	94.127655E-6
432.920456E-6	-365.352631E-6	13.065338E-6	-484.609604E-6	-722.026825E-6	255.870819E-6	-408.935547E-6	93.841553E-6
432.300568E-6	-364.828110E-6	12.683868E-6	-483.942032E-6	-721.883774E-6	255.537033E-6	-409.030914E-6	93.698502E-6
433.588028E-6	-365.066528E-6	12.731552E-6	-484.132767E-6	-722.742081E-6	255.393982E-6	-409.793854E-6	93.555450E-6
433.111191E-6	-364.637375E-6	13.017654E-6	-484.609604E-6	-722.551346E-6	255.632401E-6	-409.603119E-6	94.842911E-6
433.397293E-6	-364.494324E-6	12.969971E-6	-484.418869E-6	-722.789764E-6	255.155563E-6	-409.460068E-6	93.889236E-6
